days,USA,UK
2020/3/4,0,0
2020/3/5,0,0.004
2020/3/6,0.001,0.003
2020/3/7,0.002,0.006
2020/3/8,0.003,0.005
2020/3/9,0.003,0.009
2020/3/10,0.003,0.006
2020/3/11,0.007,0.007
2020/3/12,0.004,0.012
2020/3/13,0.012,0.019
2020/3/14,0.01,0.032
2020/3/15,0.02,0.053
2020/3/16,0.018,0.036
2020/3/17,0.031,0.026
2020/3/18,0.044,0.064
2020/3/19,0.08,0.107
2020/3/20,0.131,0.102
2020/3/21,0.144,0.114
2020/3/22,0.191,0.165
2020/3/23,0.226,0.106
2020/3/24,0.301,0.154
2020/3/25,0.235,0.229
2020/3/26,0.374,0.233
2020/3/27,0.447,0.342
2020/3/28,0.509,0.47
2020/3/29,0.526,0.404
2020/3/30,0.498,0.391
2020/3/31,0.579,0.421
2020/4/1,0.671,0.484
2020/4/2,0.727,0.697
2020/4/3,0.75,0.684
2020/4/4,0.906,0.717
2020/4/5,0.906,0.695
2020/4/6,0.681,0.859
2020/4/7,0.825,0.612
2020/4/8,0.846,0.585
2020/4/9,0.864,0.885
2020/4/10,0.916,0.7
2020/4/11,0.947,1.401
2020/4/12,0.76,0.844
2020/4/13,0.741,0.853
2020/4/14,0.668,0.853
2020/4/15,0.725,0.693
2020/4/16,0.747,0.742
2020/4/17,0.914,0.744
2020/4/18,0.948,0.903
2020/4/19,0.765,0.891
2020/4/20,0.655,0.943
2020/4/21,0.756,0.754
2020/4/22,1,0.693
2020/4/23,0.468,0.717
2020/4/24,0.712,0.927
2020/4/25,0.97,0.68
2020/4/26,0.91,0.792
2020/4/27,0.715,0.719
2020/4/28,0.604,0.694
2020/4/29,0.647,0.644
2020/4/30,0.748,0.657
2020/5/1,0.792,0.973
2020/5/2,0.905,1
2020/5/3,0.785,0.775
2020/5/4,0.67,0.699
2020/5/5,0.606,0.642
2020/5/6,0.639,0.71
2020/5/7,0.647,0.985
2020/5/8,0.761,0.905
2020/5/9,0.723,0.749
2020/5/10,0.687,0.628
2020/5/11,0.543,0.632
2020/5/12,0.486,0.625
2020/5/13,0.591,0.548
2020/5/14,0.558,0.522
2020/5/15,0.727,0.555
2020/5/16,0.684,0.573
2020/5/17,0.657,0.556
2020/5/18,0.506,0.506
2020/5/19,0.596,0.5
2020/5/20,0.528,0.388
2020/5/21,0.622,0.128
2020/5/22,0.695,0.206
2020/5/23,0.635,0.747
2020/5/24,0.569,0.258
2020/5/25,0.558,0.387
