days,United States,China,Japan,Germany,India,France,United Kingdom,Brazil,Italy,Canada
1,1,27,1,1,1,3,2,1,3,1
2,1,27,1,4,1,3,2,1,3,1
3,1,27,1,4,1,3,2,1,3,2
4,1,44,1,5,2,3,2,1,3,3
5,2,44,1,7,2,4,2,2,3,3
6,2,59,1,8,3,5,2,2,3,3
7,5,59,1,9,3,6,2,2,3,4
8,5,59,1,11,3,6,3,2,3,4
9,5,59,1,11,3,6,3,3,3,4
10,5,59,2,11,3,6,4,8,3,4
11,6,59,2,12,3,6,4,13,3,5
12,7,59,3,13,3,6,8,13,3,5
13,8,59,3,13,3,6,8,25,3,7
14,11,59,4,13,3,6,9,25,3,7
15,11,59,7,13,3,11,9,34,3,7
16,11,59,11,15,3,11,9,52,3,7
17,12,59,14,15,3,11,9,77,3,7
18,12,63,15,15,3,11,9,98,3,7
19,12,80,19,15,3,11,9,121,3,7
20,12,216,20,15,3,11,9,200,3,7
21,12,235,20,15,3,11,9,234,3,8
22,13,386,25,15,3,11,9,291,3,8
23,13,526,25,15,3,11,9,428,17,8
24,14,623,25,15,3,12,9,621,79,8
25,15,882,25,15,3,12,13,904,132,8
26,15,1323,25,15,3,12,13,1128,229,8
27,15,1988,25,15,3,12,13,1546,322,9
28,15,2775,25,15,3,12,13,1891,400,9
29,15,4528,25,15,3,12,16,2201,650,9
30,15,5994,29,17,3,12,18,2433,888,9
31,15,7734,30,21,3,12,23,2915,1128,11
32,16,9714,38,47,3,12,36,3417,1689,11
33,35,11809,52,57,3,14,40,3904,2036,12
34,35,14399,59,111,5,17,51,4256,2502,14
35,35,17211,59,129,6,38,85,4579,3089,16
36,53,20448,66,157,28,57,115,5717,3858,20
37,53,24320,84,196,29,100,163,6836,4636,24
38,59,28047,93,262,31,130,206,7910,5883,27
39,60,31207,105,400,34,178,273,9056,7375,30
40,66,34625,132,684,44,212,321,10278,9172,33
41,69,37232,144,847,44,285,373,11130,10149,45
42,89,40206,144,902,50,423,456,12056,12462,51
43,103,42696,164,1139,73,613,590,13717,15113,57
44,125,44724,186,1296,75,716,707,15927,17660,62
45,159,59865,210,1567,83,1126,1140,17857,21157,77
46,233,64021,230,2369,90,1412,1391,19638,23980,93
47,338,66559,239,3062,93,1784,1543,20727,27980,103
48,433,68566,254,3795,125,2281,1950,22169,31506,138
49,554,70618,254,4838,137,2876,2630,23430,35713,176
50,754,72508,268,6012,165,3661,3277,25262,41035,244
51,1025,74258,317,7156,191,4499,3983,28320,47021,304
52,1312,74652,349,8198,231,5423,5018,30425,53578,424
53,1663,75543,408,14138,320,6633,5683,33682,59138,569
54,2174,76369,455,18187,439,7730,6650,36599,63927,690
55,2951,77016,488,21463,492,9134,8077,38654,69176,846
56,3774,77234,514,24774,562,10995,9529,40581,74386,971
57,4661,77749,568,29212,649,12612,11658,43079,80539,1302
58,6427,78159,619,31554,724,14459,14543,45757,86498,1430
59,9415,78598,675,36508,873,16018,17089,49492,92472,1646
60,14250,78927,737,42288,979,19856,19522,52995,97689,1959
61,19624,79355,780,48582,1071,22302,22141,58509,101739,3385
62,26747,79929,814,52547,1251,25233,25150,61888,105792,4018
63,35206,80134,824,57298,1397,29155,29474,66501,110574,4675
64,46442,80261,829,61913,1965,32964,33718,71886,115242,5386
65,55231,80380,873,67366,2301,37575,38168,78162,119827,6255
66,69194,80497,950,73522,2902,40174,41903,85380,124632,7424
67,85991,80667,1007,79696,3374,44550,47806,91589,128948,8536
68,104686,80768,1046,85778,4067,52128,51608,96559,132547,9595
69,124665,80814,1089,91714,4421,56989,55242,101147,135586,11268
70,143025,80859,1128,95391,5194,59105,60733,107780,139422,12519
71,164620,80879,1193,99225,5734,64338,65077,114715,143626,13882
72,189618,80908,1268,103228,6412,68605,70272,125218,147577,15496
73,216721,80932,1364,108202,7447,70478,78991,135106,152271,16653
74,245540,80954,1499,113525,8356,74390,84279,,156363,17883
75,277965,80973,1693,117658,9152,78167,88621,,159516,19274
76,312237,80995,1866,120479,10363,82048,93873,,162488,20748
77,337635,81020,1953,123016,11438,86334,98476,,165155,22133
78,368196,81063,1953,125098,12380,90676,103093,,168941,23301
79,398809,81086,2178,127584,13387,93790,108692,,172434,24365
80,432132,81130,2617,130450,14378,95403,114217,,175925,25663
81,466033,81229,2935,133830,15712,98076,120067,,178972,27046
82,501560,81281,3271,137439,17265,103573,124743,,181228,28364
83,529951,81346,3654,139897,18600,106206,129044,,183957,30081
84,557571,81484,3817,141672,19984,108847,133495,,187327,31872
85,582594,81553,3906,143457,21393,109252,138078,,189973,33341
86,609516,81631,4257,145694,23077,111821,143464,,192994,34777
87,639664,81733,4667,148046,24506,112606,148377,,195351,36823
88,671331,81827,5347,150383,26496,114657,152840,,197675,38413
89,702164,81946,6748,152438,27892,117324,157149,,199414,40179
90,735086,82059,7255,154175,29435,119151,161145,,201505,42099
91,759687,82157,7645,155193,31332,120804,165221,,203591,43877
92,787752,82241,8100,156337,33050,122577,171253,,205463,45341
93,825041,82295,8582,157641,35043,124114,177454,,207428,46884
94,842629,82395,9167,159119,37336,124575,182260,,209328,48489
95,869172,82465,9795,159119,39980,125770,186599,,210717,50015
96,890524,82527,10361,161703,42533,126835,190584,,211938,51587
97,939053,82575,10751,162496,46433,128442,194990,,213013,53236
98,965910,82642,11118,163175,49391,129581,201201,,214457,55061
99,988451,82698,11496,163860,52952,130185,206715,,215858,56714
100,1012583,82784,11772,164897,56342,130979,,,,59474
101,1039909,82870,12240,166091,,131287,,,,60772
102,1069826,82925,12892,167300,,131863,,,,62046
103,1103781,83004,13182,,,132967,,,,63496
104,1133069,83097,13385,,,137150,,,,64922
105,1158041,83209,13576,,,137779,,,,
106,1180634,83303,13852,,,,,,,
107,1204475,83352,14088,,,,,,,
108,1228603,83402,14281,,,,,,,
109,1256972,83754,14544,,,,,,,
110,,83785,14839,,,,,,,
111,,83803,15057,,,,,,,
112,,83817,15231,,,,,,,
113,,83849,15354,,,,,,,
114,,83864,15463,,,,,,,
115,,83876,15547,,,,,,,
116,,83884,,,,,,,,
117,,83899,,,,,,,,
118,,83909,,,,,,,,
119,,83912,,,,,,,,
120,,83938,,,,,,,,
121,,83940,,,,,,,,
122,,83944,,,,,,,,
123,,83956,,,,,,,,
124,,83959,,,,,,,,
125,,83961,,,,,,,,
126,,83964,,,,,,,,
127,,83966,,,,,,,,
128,,83968,,,,,,,,
129,,83970,,,,,,,,
130,,83976,,,,,,,,
